#,Questão,Alternativas,Alternativa(s) Correta(s)
1,"Northern Trail Outfitters (NTO) is building a journey which randomly sends five different versions of an initial welcome email to new subscriber however, subscribers receive the same follow-up email two weeks later. To improve maintainability of their email content, NTO want to use 3 completely different emails, rather than having one email with dynamic content."
,,A. Join,A
,,B. Engagement Split
,,C. Wait Until Date
,,D. Einstein STO

2,Northern Trail Outfitters (NTO) has a requirement to create a distinction between marketing and transactional emails in terms of From Name and IP Address for reputation purposes.
,,A. Define a Subscriber -specific From Name.,"C,D"
,,B. Define custom Reply Mail Management.
,,C. Define a Delivery Profile.
,,D. Define a Sender Profile.

3,The Marketing Cloud admin for Northern Trails Outfitters wants to build an audience with Advertising Studio which mimics the traits of their most valuable customers.
,,A. Google and Facebook,B
,,B. Facebook and Twitter
,,C. Twitter
,,D. Facebook

4,Setup Assistant provides information and resources for configuring a new Marketing Cloud account.
,,A. Setting up the Data Structure,A
,,B. Enabling Mobile Connect
,,C. Configuring Journey Builder
,,D. Managing the Enhanced SFTP

5,A Marketing Cloud admin is asked by the marketing team to ensure a default Header and Footer be added to emails.
,,A. Emails Studio Settings,C
,,B. Content Builder Settings
,,C. Account Settings
,,D. Campaign Settings

6,What storage model should be used if a subscriber has more than one value for an attribute?
,,A. Publication Lists,B
,,B. Data Extensions
,,C. Lists
,,D. Profile Attribute

7,A Marketing Cloud admin wants to create a suppression list for hard-bounced email addresses Where could the details be found?
,,A. Run a Bounce Email Report,D
,,B. Run an Account Send Summary Report
,,C. Query the Send Log
,,D. Query the Bounce Data View

8,Analyst of The Northern Trail Outfitters (NTO) marketing team needs to pull email metrics for an upcoming quarterly company meeting. These metrics need to be reported per email campaign for each of NTO's Business Units:
,,A. Campaign Email Tracking Report,D
,,B. Email Send Report
,,C. Email Performance Over Time Report
,,D. Account Send Summary Report

9,Northern Trail Outfitters wants to pass the email address of a subscriber to a landing page through a URL parameter from a promotional email.
,,A. CloudPagesURL AMPscript function,A
,,B. Web Analytics Connector
,,C. Link Wrapping

10,"Northern Trail Outfitters runs a nightly automation consisting of a File Transfer and a File Import. Following an update from the engineering team, the automation began failing. The Marketing Cloud admin suspects the CSV file now has an invalid format."
,,A. Update the Import definition to include a notification email address,A
,,B. Update the automation to include a notification email address for Runtime Errors
,,C. Move the Import definition to its own automation and include a notification email address
,,D. Move the File Transfer to its own automation and include a notification email address

11,"Northern Trail Outfitters (NTO) has a franchise model which allows locally-owned stores to operate under the corporate umbrell a. They are required by corporate policy to email each franchisee a monthly statement, but the statement cannot be publicly accessible Which Marketing Cloud product should NTO purchase as a solution?"
,,A. Email Rachments,D
,,B. Analytics Builder
,,C. Content Syndication
,,D. Distributed Sending

12,"Which Product enables a Marketing Cloud admin to observe customer behavior, build performance profiles and deliver the next best content?"
,,A. Einstein Email Recommendations,A
,,B. Content Builder
,,C. Audience Builder
,,D. Einstein Send Time Optimization

